_id,順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS
12,50,栗山　巧,西武,0.263,55,223,190,50,3,26,0,28,2,40,1,3,0.36,0.353,0.713
24,50,荻野　貴司,ロッテ,0.311,51,223,196,61,3,17,13,17,3,24,5,0,0.372,0.469,0.841
36,52,内川　聖一,ソフトバンク,0.248,57,218,202,50,5,15,2,12,1,20,1,9,0.29,0.361,0.652
56,53,ブラッシュ,楽天,0.279,53,213,172,48,17,47,0,31,9,54,0,4,0.413,0.634,1.047
25,53,福田　周平,オリックス,0.229,51,213,192,44,0,11,6,14,2,21,5,2,0.288,0.271,0.559
55,55,牧原　大成,ソフトバンク,0.214,51,210,196,42,0,12,3,5,0,53,8,0,0.233,0.281,0.513
64,56,大城　滉二,オリックス,0.265,58,207,185,49,3,14,8,13,4,31,5,3,0.327,0.373,0.7
59,56,西川　龍馬,広島,0.293,56,207,188,55,2,27,1,9,1,22,4,3,0.32,0.394,0.714
37,58,中島　卓也,日本ハム,0.223,59,206,184,41,0,11,7,13,2,44,7,1,0.281,0.255,0.537
63,58,渡邉　諒,日本ハム,0.234,50,206,175,41,5,24,0,27,4,41,0,3,0.35,0.371,0.721
26,60,甲斐　拓也,ソフトバンク,0.253,60,204,170,43,5,22,7,24,0,54,9,7,0.344,0.394,0.738
7,61,バレンティン,ヤクルト,0.276,50,203,181,50,13,38,0,21,0,50,0,7,0.35,0.525,0.875
47,62,大和,DeNA,0.246,56,202,179,44,0,15,2,15,2,33,5,2,0.31,0.263,0.572
50,63,福留　孝介,阪神,0.244,50,201,176,43,4,23,0,21,1,37,1,2,0.325,0.369,0.694
8,64,中村　悠平,ヤクルト,0.264,58,194,163,43,3,13,0,21,2,19,7,3,0.353,0.387,0.739
28,64,角中　勝也,ロッテ,0.21,46,194,162,34,5,22,1,28,1,23,1,6,0.326,0.364,0.691
44,66,王　柏融,日本ハム,0.297,47,193,175,52,2,25,1,14,2,28,0,4,0.352,0.377,0.729
39,67,井上　晴哉,ロッテ,0.263,45,186,156,41,11,27,0,25,5,28,0,4,0.382,0.513,0.895
