_id,順位,選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
467,60,近藤　大亮,オリックス,3.38,31,2,4,0,13,0.333,124,29.1,22,1,16,1,37,11,11,1.3,2.57
318,62,九里　亜蓮,広島,3.4,14,3,3,0,3,0.5,187,45,37,5,16,1,42,18,17,1.18,3.83
182,63,岩田　稔,阪神,3.41,10,2,2,0,0,0.5,251,60.2,63,10,15,2,33,27,23,1.29,5.02
366,64,上茶谷　大河,DeNA,3.42,12,4,3,0,0,0.571,307,73.2,66,6,22,3,51,31,28,1.19,3.65
213,65,山岡　泰輔,オリックス,3.43,13,5,2,0,0,0.714,360,89.1,73,9,25,1,75,38,34,1.1,3.59
106,65,石川　雅規,ヤクルト,3.43,12,2,5,0,0,0.286,256,63,60,10,7,3,42,27,24,1.06,4.33
212,67,益田　直也,ロッテ,3.45,30,2,4,15,4,0.333,114,28.2,21,4,10,2,26,12,11,1.08,4.38
14,68,石橋　良太,楽天,3.61,16,4,3,0,0,0.571,217,52.1,48,9,13,3,32,22,21,1.17,5.05
267,69,二木　康太,ロッテ,3.62,13,5,5,0,0,0.5,335,82,75,10,18,2,80,37,33,1.13,3.49
67,70,加藤　貴之,日本ハム,3.63,15,3,4,0,1,0.429,212,52,42,6,14,1,36,21,21,1.08,4.1
286,71,桜井　俊貴,巨人,3.66,15,3,1,0,0,0.75,135,32,28,3,11,2,29,13,13,1.22,3.75
227,72,髙橋　光成,西武,3.68,12,7,4,0,0,0.636,329,73.1,83,7,27,9,57,41,30,1.5,4.24
362,73,メルセデス,巨人,3.72,13,5,4,0,0,0.556,315,72.2,86,8,22,1,58,32,30,1.49,3.86
110,74,Ｋ－鈴木,オリックス,3.75,9,1,5,0,0,0.167,225,50.1,45,5,29,2,45,28,21,1.47,4.47
266,75,石川　直也,日本ハム,3.81,27,1,2,2,12,0.333,105,26,19,3,9,0,31,11,11,1.08,3.27
326,76,種市　篤暉,ロッテ,3.86,15,4,1,0,2,0.8,225,51.1,55,6,21,0,51,25,22,1.48,3.88
460,76,西野　勇士,ロッテ,3.86,29,0,1,2,4,0,109,28,22,3,9,0,35,12,12,1.11,2.98
419,78,守屋　功輝,阪神,3.9,33,2,2,0,5,0.5,116,30,24,2,7,0,21,13,13,1.03,3.29
141,79,井納　翔一,DeNA,3.95,9,3,3,0,0,0.5,186,43.1,41,3,16,3,32,24,19,1.32,3.72
32,80,辛島　航,楽天,3.99,12,5,3,0,0,0.625,288,67.2,63,9,27,0,50,30,30,1.33,4.57
12,81,今井　達也,西武,4.02,12,5,6,0,0,0.455,345,78.1,74,8,44,2,61,43,35,1.51,4.61
18,81,近藤　一樹,ヤクルト,4.02,33,2,1,0,10,0.667,146,31.1,31,4,25,0,32,15,14,1.79,4.84
146,83,中﨑　翔太,広島,4.08,29,2,3,8,3,0.4,140,28.2,35,3,15,2,21,21,13,1.74,4.59
233,84,山﨑　福也,オリックス,4.09,25,2,1,0,1,0.667,145,33,24,2,20,3,25,15,15,1.33,4.21
381,85,メッセンジャー,阪神,4.14,11,3,5,0,0,0.375,298,71.2,59,9,34,2,47,37,33,1.3,4.91
65,86,涌井　秀章,ロッテ,4.16,13,3,4,0,0,0.429,334,75.2,89,11,21,3,62,38,35,1.45,4.32
66,87,三嶋　一輝,DeNA,4.17,34,2,3,0,8,0.4,157,36.2,34,6,19,0,31,17,17,1.45,4.95
444,88,金子　弌大,日本ハム,4.19,16,3,5,0,1,0.375,255,58,61,7,25,0,38,32,27,1.48,4.67
235,89,高木　京介,巨人,4.23,28,2,1,0,6,0.667,112,27.2,27,6,4,0,30,13,13,1.12,4.2
394,90,清水　達也,中日,4.28,6,2,1,0,0,0.667,130,27.1,28,3,23,1,17,15,13,1.87,5.83
292,90,岩貞　祐太,阪神,4.28,5,1,3,0,0,0.25,121,27.1,32,3,11,0,20,14,13,1.57,4.29
154,92,酒居　知史,ロッテ,4.32,31,3,3,0,16,0.5,142,33.1,29,3,15,0,42,16,16,1.32,2.94
407,93,菅野　智之,巨人,4.39,11,7,4,0,0,0.636,290,67.2,70,15,17,1,60,39,33,1.29,5.03
22,93,山井　大介,中日,4.39,8,2,3,0,0,0.4,177,41,40,9,17,1,25,20,20,1.39,6.07
192,95,美馬　学,楽天,4.44,13,5,3,0,0,0.625,312,75,76,11,10,1,56,39,37,1.15,3.97
399,96,国吉　佑樹,DeNA,4.46,24,3,2,0,2,0.6,149,36.1,28,5,13,0,45,18,18,1.13,3.51
113,97,十亀　剣,西武,4.56,9,3,2,0,0,0.6,200,47.1,43,4,12,3,35,26,24,1.16,3.69
208,97,パットン,DeNA,4.56,28,0,3,0,16,0,118,25.2,22,3,16,3,34,16,13,1.48,3.74
299,99,梅野　雄吾,ヤクルト,4.59,33,0,1,4,12,0,150,33.1,33,4,15,1,40,23,17,1.44,3.72
167,100,菊池　保則,広島,4.62,23,1,2,0,2,0.333,112,25.1,21,2,15,0,19,15,13,1.42,4.19
139,101,東　克樹,DeNA,4.74,5,3,2,0,0,0.6,115,24.2,31,3,10,1,21,14,13,1.66,4.21
